retained_card29_sales,retained_card29_revenue,residual_transfer_rate,replacement_revenue,affected_card29_baseline_revenue,revenue_change
0,0.0,0.0,2143.6385106081398,2772.0,-628.3614893918602
0,0.0,0.1,2183.3447564373646,2772.0,-588.6552435626354
0,0.0,0.2,2223.05100226659,2772.0,-548.9489977334101
0,0.0,0.3,2262.7572480958147,2772.0,-509.2427519041853
0,0.0,0.4,2302.4634939250395,2772.0,-469.53650607496047
0,0.0,0.5,2342.169739754265,2772.0,-429.8302602457352
0,0.0,0.6,2381.8759855834896,2772.0,-390.12401441651036
0,0.0,0.7,2421.5822314127145,2772.0,-350.41776858728554
0,0.0,0.8,2461.2884772419397,2772.0,-310.71152275806026
0,0.0,0.9,2500.9947230711646,2772.0,-271.0052769288354
0,0.0,1.0,2540.70096890039,2772.0,-231.29903109961015
1,44.0,0.0,2143.6385106081398,2728.0,-584.3614893918602
1,44.0,0.1,2183.3447564373646,2728.0,-544.6552435626354
1,44.0,0.2,2223.05100226659,2728.0,-504.9489977334101
1,44.0,0.3,2262.7572480958147,2728.0,-465.2427519041853
1,44.0,0.4,2302.4634939250395,2728.0,-425.53650607496047
1,44.0,0.5,2342.169739754265,2728.0,-385.8302602457352
1,44.0,0.6,2381.8759855834896,2728.0,-346.12401441651036
1,44.0,0.7,2421.5822314127145,2728.0,-306.41776858728554
1,44.0,0.8,2461.2884772419397,2728.0,-266.71152275806026
1,44.0,0.9,2500.9947230711646,2728.0,-227.00527692883543
1,44.0,1.0,2540.70096890039,2728.0,-187.29903109961015
2,88.0,0.0,2143.6385106081398,2684.0,-540.3614893918602
2,88.0,0.1,2183.3447564373646,2684.0,-500.6552435626354
2,88.0,0.2,2223.05100226659,2684.0,-460.9489977334101
2,88.0,0.3,2262.7572480958147,2684.0,-421.2427519041853
2,88.0,0.4,2302.4634939250395,2684.0,-381.53650607496047
2,88.0,0.5,2342.169739754265,2684.0,-341.8302602457352
2,88.0,0.6,2381.8759855834896,2684.0,-302.12401441651036
2,88.0,0.7,2421.5822314127145,2684.0,-262.41776858728554
2,88.0,0.8,2461.2884772419397,2684.0,-222.71152275806026
2,88.0,0.9,2500.9947230711646,2684.0,-183.00527692883543
2,88.0,1.0,2540.70096890039,2684.0,-143.29903109961015
3,132.0,0.0,2143.6385106081398,2640.0,-496.36148939186023
3,132.0,0.1,2183.3447564373646,2640.0,-456.6552435626354
3,132.0,0.2,2223.05100226659,2640.0,-416.9489977334101
3,132.0,0.3,2262.7572480958147,2640.0,-377.2427519041853
3,132.0,0.4,2302.4634939250395,2640.0,-337.53650607496047
3,132.0,0.5,2342.169739754265,2640.0,-297.8302602457352
3,132.0,0.6,2381.8759855834896,2640.0,-258.12401441651036
3,132.0,0.7,2421.5822314127145,2640.0,-218.41776858728554
3,132.0,0.8,2461.2884772419397,2640.0,-178.71152275806026
3,132.0,0.9,2500.9947230711646,2640.0,-139.00527692883543
3,132.0,1.0,2540.70096890039,2640.0,-99.29903109961015
4,176.0,0.0,2143.6385106081398,2596.0,-452.36148939186023
4,176.0,0.1,2183.3447564373646,2596.0,-412.6552435626354
4,176.0,0.2,2223.05100226659,2596.0,-372.9489977334101
4,176.0,0.3,2262.7572480958147,2596.0,-333.2427519041853
4,176.0,0.4,2302.4634939250395,2596.0,-293.53650607496047
4,176.0,0.5,2342.169739754265,2596.0,-253.8302602457352
4,176.0,0.6,2381.8759855834896,2596.0,-214.12401441651036
4,176.0,0.7,2421.5822314127145,2596.0,-174.41776858728554
4,176.0,0.8,2461.2884772419397,2596.0,-134.71152275806026
4,176.0,0.9,2500.9947230711646,2596.0,-95.00527692883543
4,176.0,1.0,2540.70096890039,2596.0,-55.29903109961015
5,220.0,0.0,2143.6385106081398,2552.0,-408.36148939186023
5,220.0,0.1,2183.3447564373646,2552.0,-368.6552435626354
5,220.0,0.2,2223.05100226659,2552.0,-328.9489977334101
5,220.0,0.3,2262.7572480958147,2552.0,-289.2427519041853
5,220.0,0.4,2302.4634939250395,2552.0,-249.53650607496047
5,220.0,0.5,2342.169739754265,2552.0,-209.8302602457352
5,220.0,0.6,2381.8759855834896,2552.0,-170.12401441651036
5,220.0,0.7,2421.5822314127145,2552.0,-130.41776858728554
5,220.0,0.8,2461.2884772419397,2552.0,-90.71152275806026
5,220.0,0.9,2500.9947230711646,2552.0,-51.00527692883543
5,220.0,1.0,2540.70096890039,2552.0,-11.299031099610147
6,264.0,0.0,2143.6385106081398,2508.0,-364.36148939186023
6,264.0,0.1,2183.3447564373646,2508.0,-324.6552435626354
6,264.0,0.2,2223.05100226659,2508.0,-284.9489977334101
6,264.0,0.3,2262.7572480958147,2508.0,-245.2427519041853
6,264.0,0.4,2302.4634939250395,2508.0,-205.53650607496047
6,264.0,0.5,2342.169739754265,2508.0,-165.8302602457352
6,264.0,0.6,2381.8759855834896,2508.0,-126.12401441651036
6,264.0,0.7,2421.5822314127145,2508.0,-86.41776858728554
6,264.0,0.8,2461.2884772419397,2508.0,-46.711522758060255
6,264.0,0.9,2500.9947230711646,2508.0,-7.005276928835428
6,264.0,1.0,2540.70096890039,2508.0,32.70096890038985
7,308.0,0.0,2143.6385106081398,2464.0,-320.36148939186023
7,308.0,0.1,2183.3447564373646,2464.0,-280.6552435626354
7,308.0,0.2,2223.05100226659,2464.0,-240.94899773341012
7,308.0,0.3,2262.7572480958147,2464.0,-201.2427519041853
7,308.0,0.4,2302.4634939250395,2464.0,-161.53650607496047
7,308.0,0.5,2342.169739754265,2464.0,-121.83026024573519
7,308.0,0.6,2381.8759855834896,2464.0,-82.12401441651036
7,308.0,0.7,2421.5822314127145,2464.0,-42.417768587285536
7,308.0,0.8,2461.2884772419397,2464.0,-2.711522758060255
7,308.0,0.9,2500.9947230711646,2464.0,36.99472307116457
7,308.0,1.0,2540.70096890039,2464.0,76.70096890038985
8,352.0,0.0,2143.6385106081398,2420.0,-276.36148939186023
8,352.0,0.1,2183.3447564373646,2420.0,-236.6552435626354
8,352.0,0.2,2223.05100226659,2420.0,-196.94899773341012
8,352.0,0.3,2262.7572480958147,2420.0,-157.2427519041853
8,352.0,0.4,2302.4634939250395,2420.0,-117.53650607496047
8,352.0,0.5,2342.169739754265,2420.0,-77.83026024573519
8,352.0,0.6,2381.8759855834896,2420.0,-38.12401441651036
8,352.0,0.7,2421.5822314127145,2420.0,1.5822314127144637
8,352.0,0.8,2461.2884772419397,2420.0,41.288477241939745
8,352.0,0.9,2500.9947230711646,2420.0,80.99472307116457
8,352.0,1.0,2540.70096890039,2420.0,120.70096890038985
9,396.0,0.0,2143.6385106081398,2376.0,-232.36148939186023
9,396.0,0.1,2183.3447564373646,2376.0,-192.6552435626354
9,396.0,0.2,2223.05100226659,2376.0,-152.94899773341012
9,396.0,0.3,2262.7572480958147,2376.0,-113.2427519041853
9,396.0,0.4,2302.4634939250395,2376.0,-73.53650607496047
9,396.0,0.5,2342.169739754265,2376.0,-33.83026024573519
9,396.0,0.6,2381.8759855834896,2376.0,5.875985583489637
9,396.0,0.7,2421.5822314127145,2376.0,45.582231412714464
9,396.0,0.8,2461.2884772419397,2376.0,85.28847724193974
9,396.0,0.9,2500.9947230711646,2376.0,124.99472307116457
9,396.0,1.0,2540.70096890039,2376.0,164.70096890038985
10,440.0,0.0,2143.6385106081398,2332.0,-188.36148939186023
10,440.0,0.1,2183.3447564373646,2332.0,-148.6552435626354
10,440.0,0.2,2223.05100226659,2332.0,-108.94899773341012
10,440.0,0.3,2262.7572480958147,2332.0,-69.2427519041853
10,440.0,0.4,2302.4634939250395,2332.0,-29.53650607496047
10,440.0,0.5,2342.169739754265,2332.0,10.16973975426481
10,440.0,0.6,2381.8759855834896,2332.0,49.87598558348964
10,440.0,0.7,2421.5822314127145,2332.0,89.58223141271446
10,440.0,0.8,2461.2884772419397,2332.0,129.28847724193974
10,440.0,0.9,2500.9947230711646,2332.0,168.99472307116457
10,440.0,1.0,2540.70096890039,2332.0,208.70096890038985
11,484.0,0.0,2143.6385106081398,2288.0,-144.36148939186023
11,484.0,0.1,2183.3447564373646,2288.0,-104.6552435626354
11,484.0,0.2,2223.05100226659,2288.0,-64.94899773341012
11,484.0,0.3,2262.7572480958147,2288.0,-25.242751904185297
11,484.0,0.4,2302.4634939250395,2288.0,14.46349392503953
11,484.0,0.5,2342.169739754265,2288.0,54.16973975426481
11,484.0,0.6,2381.8759855834896,2288.0,93.87598558348964
11,484.0,0.7,2421.5822314127145,2288.0,133.58223141271446
11,484.0,0.8,2461.2884772419397,2288.0,173.28847724193974
11,484.0,0.9,2500.9947230711646,2288.0,212.99472307116457
11,484.0,1.0,2540.70096890039,2288.0,252.70096890038985
