retained_card29_sales,retained_card29_revenue,affected_card29_baseline_revenue,supported_replacement_revenue,revenue_gap_after_supported,required_residual_transfer_rate
0,0.0,2772.0,2143.6385106081398,628.3614893918602,1.582525560574068
1,44.0,2728.0,2143.6385106081398,584.3614893918602,1.4717117601728862
2,88.0,2684.0,2143.6385106081398,540.3614893918602,1.3608979597717041
3,132.0,2640.0,2143.6385106081398,496.36148939186023,1.2500841593705223
4,176.0,2596.0,2143.6385106081398,452.36148939186023,1.1392703589693403
5,220.0,2552.0,2143.6385106081398,408.36148939186023,1.0284565585681584
6,264.0,2508.0,2143.6385106081398,364.36148939186023,0.9176427581669765
7,308.0,2464.0,2143.6385106081398,320.36148939186023,0.8068289577657946
8,352.0,2420.0,2143.6385106081398,276.36148939186023,0.6960151573646126
9,396.0,2376.0,2143.6385106081398,232.36148939186023,0.5852013569634307
10,440.0,2332.0,2143.6385106081398,188.36148939186023,0.4743875565622488
11,484.0,2288.0,2143.6385106081398,144.36148939186023,0.36357375616106685
12,528.0,2244.0,2143.6385106081398,100.36148939186023,0.2527599557598849
13,572.0,2200.0,2143.6385106081398,56.36148939186023,0.141946155358703
14,616.0,2156.0,2143.6385106081398,12.361489391860232,0.03113235495752108
15,660.0,2112.0,2143.6385106081398,-31.638510608139768,-0.07968144544366085
16,704.0,2068.0,2143.6385106081398,-75.63851060813977,-0.1904952458448428
17,748.0,2024.0,2143.6385106081398,-119.63851060813977,-0.3013090462460247
18,792.0,1980.0,2143.6385106081398,-163.63851060813977,-0.4121228466472066
19,836.0,1936.0,2143.6385106081398,-207.63851060813977,-0.5229366470483886
20,880.0,1892.0,2143.6385106081398,-251.63851060813977,-0.6337504474495705
21,924.0,1848.0,2143.6385106081398,-295.63851060813977,-0.7445642478507524
22,968.0,1804.0,2143.6385106081398,-339.63851060813977,-0.8553780482519343
23,1012.0,1760.0,2143.6385106081398,-383.63851060813977,-0.9661918486531162
24,1056.0,1716.0,2143.6385106081398,-427.63851060813977,-1.0770056490542983
25,1100.0,1672.0,2143.6385106081398,-471.63851060813977,-1.1878194494554801
26,1144.0,1628.0,2143.6385106081398,-515.6385106081398,-1.298633249856662
27,1188.0,1584.0,2143.6385106081398,-559.6385106081398,-1.409447050257844
28,1232.0,1540.0,2143.6385106081398,-603.6385106081398,-1.5202608506590258
29,1276.0,1496.0,2143.6385106081398,-647.6385106081398,-1.6310746510602079
30,1320.0,1452.0,2143.6385106081398,-691.6385106081398,-1.7418884514613897
31,1364.0,1408.0,2143.6385106081398,-735.6385106081398,-1.8527022518625718
32,1408.0,1364.0,2143.6385106081398,-779.6385106081398,-1.9635160522637536
33,1452.0,1320.0,2143.6385106081398,-823.6385106081398,-2.0743298526649356
34,1496.0,1276.0,2143.6385106081398,-867.6385106081398,-2.1851436530661177
35,1540.0,1232.0,2143.6385106081398,-911.6385106081398,-2.2959574534672993
36,1584.0,1188.0,2143.6385106081398,-955.6385106081398,-2.4067712538684813
37,1628.0,1144.0,2143.6385106081398,-999.6385106081398,-2.5175850542696634
38,1672.0,1100.0,2143.6385106081398,-1043.6385106081398,-2.628398854670845
39,1716.0,1056.0,2143.6385106081398,-1087.6385106081398,-2.739212655072027
40,1760.0,1012.0,2143.6385106081398,-1131.6385106081398,-2.850026455473209
41,1804.0,968.0,2143.6385106081398,-1175.6385106081398,-2.960840255874391
42,1848.0,924.0,2143.6385106081398,-1219.6385106081398,-3.0716540562755728
43,1892.0,880.0,2143.6385106081398,-1263.6385106081398,-3.182467856676755
44,1936.0,836.0,2143.6385106081398,-1307.6385106081398,-3.293281657077937
45,1980.0,792.0,2143.6385106081398,-1351.6385106081398,-3.404095457479119
46,2024.0,748.0,2143.6385106081398,-1395.6385106081398,-3.5149092578803005
47,2068.0,704.0,2143.6385106081398,-1439.6385106081398,-3.6257230582814826
48,2112.0,660.0,2143.6385106081398,-1483.6385106081398,-3.7365368586826646
49,2156.0,616.0,2143.6385106081398,-1527.6385106081398,-3.847350659083846
50,2200.0,572.0,2143.6385106081398,-1571.6385106081398,-3.9581644594850283
51,2244.0,528.0,2143.6385106081398,-1615.6385106081398,-4.06897825988621
52,2288.0,484.0,2143.6385106081398,-1659.6385106081398,-4.179792060287392
53,2332.0,440.0,2143.6385106081398,-1703.6385106081398,-4.290605860688574
54,2376.0,396.0,2143.6385106081398,-1747.6385106081398,-4.401419661089756
55,2420.0,352.0,2143.6385106081398,-1791.6385106081398,-4.512233461490938
56,2464.0,308.0,2143.6385106081398,-1835.6385106081398,-4.62304726189212
57,2508.0,264.0,2143.6385106081398,-1879.6385106081398,-4.733861062293302
58,2552.0,220.0,2143.6385106081398,-1923.6385106081398,-4.844674862694483
59,2596.0,176.0,2143.6385106081398,-1967.6385106081398,-4.955488663095665
60,2640.0,132.0,2143.6385106081398,-2011.6385106081398,-5.066302463496847
61,2684.0,88.0,2143.6385106081398,-2055.6385106081398,-5.1771162638980295
62,2728.0,44.0,2143.6385106081398,-2099.6385106081398,-5.2879300642992115
63,2772.0,0.0,2143.6385106081398,-2143.6385106081398,-5.398743864700394
