application_id,rank1_cards,historical_applications,support_group,revenue_per_transfer_click,sales_per_transfer_click
K3E4cXh1QVNYRThaYjJaUHVoSjZydz090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
MUMrTm1KV1NuYmRBOE9SRFFibTBCdz090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
OUhQNDBBYmYzb2o3V3ZYV0I4anF1QT090,"(np.int64(7), np.int64(10), np.int64(14))",0,residual_sensitivity,12.214398692717042,0.3179808576424124
Q0dlTVJRZ2I4aHNsYVdLeVBWOUgwdz090,"(np.int64(9), np.int64(23))",8,residual_sensitivity,11.69832501781896,0.33927298645759085
Q3YrM2NUMHU3QnljVzVNNCtEbkdPUT090,"(np.int64(9), np.int64(14), np.int64(15))",3,residual_sensitivity,11.198068545239353,0.35459408512215046
QlZrWVQxMGFLemcreFdDS2gvSXNjdz090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
QzBxcnFBVWZ5TlRKanZEbjF5Vk1HUT090,"(np.int64(10), np.int64(23))",7,residual_sensitivity,13.82127583749109,0.3433713471133286
R3I1VVBqZDNBWVIrK0l1RWVNdEladz090,"(np.int64(10), np.int64(14))",3,residual_sensitivity,12.348625066102592,0.30129561078794287
RWszRlp3TVIvYWQ3ZmNwYmRicXFNdz090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
TDRnRDM3L1NMNXh0VTZkNlQ1Q21sUT090,"(np.int64(14), np.int64(22))",0,residual_sensitivity,10.6821468298109,0.31062291434927697
TEJ0UFZ5SU5hRGwxZmtZcS9oRkIxdz090,"(np.int64(8), np.int64(25))",6,residual_sensitivity,15.733333333333334,0.38666666666666666
TFJ1djdqQjVpTDFWaTNlN2dkWDZkZz090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
THdMaVpjVmt4eXdmcjhuaWwxM1NLUT090,"(np.int64(4), np.int64(14), np.int64(25))",2,residual_sensitivity,10.759088581669225,0.31080389144905274
Ujl2enFzSmZBc0NZQjhNUnd6Y3Z2Zz090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
V3V1Q05DL1NTVEVUak1LTHVIOVpLQT090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
WUZLTUJLU0VBMDJNVmtadWRHVk1MZz090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
WXhKYW45TUxQdkRlajM0RTdBdFJJQT090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
WkFhdFBIQWtaYjE2WUo0Ty9CSGVMQT090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
YXB3WnNCQ2VGY3FKd0hwVXhoM2dOUT090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
Ym80eDB6US9NVFNXN1dWSGIzS1FWZz090,"(np.int64(4), np.int64(14))",9,residual_sensitivity,10.305299539170505,0.2995391705069125
Z3M2WjdnSTMydlFEOWFtSUpwYzZlZz090,"(np.int64(9), np.int64(15), np.int64(16))",4,residual_sensitivity,13.375487900078063,0.41680606668897063
ZGo1SHZYQXVKTDJZUEg4YllJVDFCdz090,"(np.int64(14), np.int64(23))",4,residual_sensitivity,9.94039270687237,0.28401122019635344
ZjVGcFRSUkFSTFEwLzF1T3podG1KQT090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
ZzFoaFM1VFpIc0VURHJYd3lxdFBFdz090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
aTBhWVlJUVFaeDVXbERUKytSS2VPUT090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
amhucXYvR3doSkFSSnFvZERNaFE4dz090,"(np.int64(10), np.int64(15), np.int64(16))",2,residual_sensitivity,14.79078844652615,0.41953830712612916
cFEwaWtxWjZjb1YxTDFhc2NRSGFLUT090,"(np.int64(4), np.int64(14))",9,residual_sensitivity,10.305299539170505,0.2995391705069125
cGgzK1lDOVBnMjYwWVNDUDZjUm1Pdz090,"(np.int64(2), np.int64(3), np.int64(10))",3,residual_sensitivity,15.862827518565226,0.4319707159871094
cUx1MnlsaHBKR0cvUk5JTVZ0S1VrQT090,"(np.int64(7), np.int64(10), np.int64(25))",1,residual_sensitivity,13.28070693644464,0.34844680746320095
dWJrSGRncWlBcDhCZmxOMkVyVUF6dz090,"(np.int64(14), np.int64(15), np.int64(25))",0,residual_sensitivity,11.092421915002559,0.3482188574354473
eXVUK3E5bmxlbnNCWUF2L0ZEQkQ3dz090,"(np.int64(15), np.int64(16), np.int64(23))",4,residual_sensitivity,13.185300207039335,0.4080153800650695
ekdDa1o1ZnVEcHp2Q1JLMXk5QkdwUT090,"(np.int64(15), np.int64(16), np.int64(24))",1,residual_sensitivity,13.218671679197994,0.40896885069817407
enVSU3kzcVBVUVRLUnJUSUdKS1BKdz090,"(np.int64(31),)",4,residual_sensitivity,11.55,0.2625
